央视频道,#genre#
广西卫视,http://58.37.189.47:8088/rtp/239.45.0.5:5140$1920x1080
吉林卫视,http://58.37.189.47:8088/rtp/239.45.0.6:5140$1920x1080
山西卫视,http://61.170.254.112:1024/rtp/239.45.1.229:5140$720x576
青海卫视,http://61.170.254.112:1024/rtp/239.45.1.230:5140$720x576
西藏卫视,http://61.170.254.112:1024/rtp/239.45.1.231:5140$720x576
陕西卫视,http://58.37.82.140:56789/rtp/239.45.1.232:5140$720x576
云南卫视,http://58.37.189.47:8088/rtp/239.45.0.4:5140$1920x1080
甘肃卫视,http://61.170.254.112:1024/rtp/239.45.1.234:5140$720x576
内蒙古卫视,http://61.170.254.112:1024/rtp/239.45.1.238:5140$720x576
河南卫视,http://58.37.82.140:56789/rtp/239.45.0.3:5140$1920x1080
新疆卫视,http://58.37.189.47:8088/rtp/239.45.1.116:5140$720x576
兵团卫视,http://58.37.189.47:8088/rtp/239.45.3.143:5140$1920x1080
三沙卫视,http://222.65.134.204:10000/rtp/239.45.1.82:5140$720x576
康巴卫视,http://61.170.254.112:1024/rtp/239.45.1.251:5140$720x576
港·澳·台,#genre#
翡翠台,http://113.83.152.56:8182/bynumber/1$1920x1080
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn$1920x1080
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct$1920x1080
翡翠台,http://metatvpro.xyz:25461/W1045/4329/12205$1920x1080
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct$1920x1080
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4$1920x1080
翡翠台,https://pi.0472.org/tv/fct.php?auth=230918$1280x720
明珠台,https://pi.0472.org/tv/mzt.php?auth=230918$1280x720
明珠台,http://metatvpro.xyz:25461/W1045/4329/12207$1280x720
明珠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=mzt$1280x720
明珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn$1280x720
星河台,https://edge6a.v2h-cdn.com/xinghe/xinghe.stream/chunklist.m3u8$1280x720
凤凰中文,http://ayolee.com:5253/udp/239.93.0.162:2192$1920x1080
凤凰中文,http://pi.0472.org/tv/cbn.php?id=xfjcHD$1280x720
凤凰中文,http://metatvpro.xyz:25461/W1045/4329/61$1280x720
凤凰中文,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd$1280x720
凤凰卫视,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8577/.m3u8$1920x1080
凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8$1280x720
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx$1280x720
凤凰资讯,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd$1280x720
凤凰香港,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn$1920x1080
凤凰香港,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk$1280x720
凤凰香港,http://metatvpro.xyz:25461/W1045/4329/12212$854x480$1280x720
凤凰香港,http://www.lebaobei.top:6868/udp/239.255.30.123:8231$1920x1080
凤凰中文,http://183.135.224.218:4022/udp/233.50.200.42:5140$1280x720
凤凰中文,http://183.135.224.218:4022/udp/233.50.200.191:5140$1280x720
凤凰中文,http://pi.0472.org/tv/cbn.php?id=xfjcHD$1280x720
凤凰资讯,http://183.135.224.218:4022/udp/233.50.200.192:5140$1280x720
凤凰中文,http://ayolee.com:5253/udp/239.93.0.162:2192$1920x1080
凤凰中文,http://wouu.net:9977/udp/239.93.0.162:2192$1920x1080
凤凰卫视,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8576/.m3u8$1920x1080
凤凰中文高清,http://124.248.70.196:24729/fhzb/2.php?id=fhzw&username=18067188530&password=Cgbyo0o0
TVBS亚洲,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd$1920x1080
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8$1920x1080
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8?$1920x1080
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8$1920x1080
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8$1920x1080
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist0.m3u8$1920x1080
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8$1920x1080
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8$1920x1080
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8?$1920x1080
TVBS新闻,http://4gtv.mumi.rip:9877/291/4gtv-4gtv072/index.m3u8$640x360
TVBS欢乐,http://4gtv.mumi.rip:9877/184/4gtv-4gtv068/index.m3u8$854x480
TVB星河台,https://edge6a.v2h-cdn.com/xinghe/xinghe.stream/chunklist.m3u8$1280x720
东森新聞,http://37.27.111.214:8080/live/20/hls.m3u8$1280x720
东森新闻,http://37.27.111.214:8080/live/20/hls.m3u8$1280x720
东森新聞,http://shuma004.chunfengyun.top:8080/live/20/hls.m3u8$1280x720
东森新闻http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8540/.m3u8$1920x1080
东森新闻,http://shuma004.chunfengyun.top:8080/live/20/hls.m3u8$1280x720
大爱,https://epg.pw/stream/8dab0126668b960d4130c12b25e9278ffda43f5b66fa986287ed34cd97cbd721.m3u8$1280x720
大爱,https://pulltv1.wanfudaluye.com/live/tv1.m3u8$1280x720
华语电视,http://38.64.72.148:80/hls/modn/list/4003/chunklist0.m3u8$1920x1080
台湾Plus,https://bcovlive-a.akamaihd.net/rce33d845cb9e42dfa302c7ac345f7858/ap-northeast-1/6282251407001/playlist.m3u8$640x360
寰宇台湾,http://37.27.111.214:8080/live/63/hls.m3u8$1280x720
民视台湾,http://37.27.111.214:8080/live/5/hls.m3u8$1280x720
好消息综合台,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch1-2.m3u8$1280x720
经典港片,rtp://233.50.201.250:5140
久看体育,rtp://233.50.201.204:5140
久看体育,rtp://233.50.201.212:5140
聚鲨环球精选,rtp://233.50.201.91:5140
欢笑剧场,rtp://233.50.200.229:5140
环球电影,rtp://233.50.201.231:5140
CETV1,rtp://233.50.201.75:5140
CETV1,rtp://233.50.201.10:5140
CETV1,rtp://233.50.201.122:5140
CETV4,rtp://233.50.201.172:5140
CGTN,rtp://233.50.200.84:5140
CGTN,rtp://233.50.201.126:5140
CGTN,rtp://233.50.201.36:5140
CGTN,rtp://233.50.201.37:5140
CGTN,rtp://233.50.201.39:5140
CGTN,rtp://233.50.201.38:5140
YST,rtp://233.50.200.45:5140
YST,rtp://233.50.200.193:5140
YST,rtp://233.50.200.194:5140
